name,placeName,fullName,previousNames,id,type,countryId,latitude,longitude
Adelaide,Adelaide,Adelaide Street Circuit,,adelaide,STREET,australia,-34.927222,138.617222
Aida,Aida,Okayama International Circuit,['TI Circuit Aida'],aida,RACE,japan,34.915,134.221111
Ain-Diab,Casablanca,Ain-Diab Circuit,,ain-diab,ROAD,morocco,33.578611,-7.6875
Aintree,Aintree,Aintree Motor Racing Circuit,,aintree,ROAD,united-kingdom,53.476944,-2.940556
Anderstorp Raceway,Anderstorp,Anderstorp Raceway,['Scandinavian Raceway'],anderstorp,RACE,sweden,57.264167,13.601389
Americas,Austin,Circuit of the Americas,,austin,RACE,united-states-of-america,30.132778,-97.641111
AVUS,Berlin,AVUS,,avus,ROAD,germany,52.480556,13.251389
Bahrain,Sakhir,Bahrain International Circuit,,bahrain,RACE,bahrain,26.0325,50.510556
Baku,Baku,Baku City Circuit,,baku,STREET,azerbaijan,40.3725,49.853333
Brands Hatch,Fawkham,Brands Hatch,,brands-hatch,RACE,united-kingdom,51.356667,0.2625
Bremgarten,Bern,Circuit Bremgarten,,bremgarten,ROAD,switzerland,46.95,7.410833
Buddh,Greater Noida,Buddh International Circuit,,buddh,RACE,india,28.350556,77.535
Juan y Oscar Gálvez,Buenos Aires,Autódromo Juan y Oscar Gálvez,"['Autódromo 17 de Octubre', 'Autódromo Municipal Ciudad de Buenos Aires', 'Autódromo Municipal del Parque Almirante Brown de la Ciudad de Buenos Aires', 'Autódromo Oscar Alfredo Gálvez']",buenos-aires,RACE,argentina,-34.694272,-58.459347
Bugatti,Le Mans,Bugatti Circuit,,bugatti,RACE,france,47.937694,0.225611
Caesars Palace,Las Vegas,Caesars Palace,,caesars-palace,STREET,united-states-of-america,36.116944,-115.175
Catalunya,Montmeló,Circuit de Barcelona-Catalunya,,catalunya,RACE,spain,41.57,2.261111
Charade,Clermont-Ferrand,Charade Circuit,,clermont-ferrand,ROAD,france,45.747222,3.038889
Fair Park,Dallas,Fair Park,,dallas,STREET,united-states-of-america,32.781944,-96.765556
Detroit,Detroit,Detroit Street Circuit,,detroit,STREET,united-states-of-america,42.32975,-83.040111
Dijon-Prenois,Dijon,Dijon-Prenois,,dijon,RACE,france,47.3625,4.899167
Donington Park,Leicestershire,Donington Park,,donington,RACE,united-kingdom,52.829806,-1.379556
Prince George,East London,Prince George Circuit,,east-london,RACE,south-africa,-33.048611,27.873611
Estoril,Estoril,Autódromo do Estoril,,estoril,RACE,portugal,38.750833,-9.394167
Fuji,Oyama,Fuji Speedway,,fuji,RACE,japan,35.371667,138.926667
Hockenheimring,Hockenheim,Hockenheimring,,hockenheimring,RACE,germany,49.327778,8.565833
Hungaroring,Budapest,Hungaroring,,hungaroring,RACE,hungary,47.582222,19.251111
