fullName,countryId,latitude,type,placeName,previousNames,id,longitude,name
Adelaide Street Circuit,australia,-34.927222,STREET,Adelaide,,adelaide,138.617222,Adelaide
Okayama International Circuit,japan,34.915,RACE,Aida,['TI Circuit Aida'],aida,134.221111,Aida
Ain-Diab Circuit,morocco,33.578611,ROAD,Casablanca,,ain-diab,-7.6875,Ain-Diab
Aintree Motor Racing Circuit,united-kingdom,53.476944,ROAD,Aintree,,aintree,-2.940556,Aintree
Anderstorp Raceway,sweden,57.264167,RACE,Anderstorp,['Scandinavian Raceway'],anderstorp,13.601389,Anderstorp Raceway
Circuit of the Americas,united-states-of-america,30.132778,RACE,Austin,,austin,-97.641111,Americas
AVUS,germany,52.480556,ROAD,Berlin,,avus,13.251389,AVUS
Bahrain International Circuit,bahrain,26.0325,RACE,Sakhir,,bahrain,50.510556,Bahrain
Baku City Circuit,azerbaijan,40.3725,STREET,Baku,,baku,49.853333,Baku
Brands Hatch,united-kingdom,51.356667,RACE,Fawkham,,brands-hatch,0.2625,Brands Hatch
Circuit Bremgarten,switzerland,46.95,ROAD,Bern,,bremgarten,7.410833,Bremgarten
Buddh International Circuit,india,28.350556,RACE,Greater Noida,,buddh,77.535,Buddh
Autódromo Juan y Oscar Gálvez,argentina,-34.694272,RACE,Buenos Aires,"['Autódromo 17 de Octubre', 'Autódromo Municipal Ciudad de Buenos Aires', 'Autódromo Municipal del Parque Almirante Brown de la Ciudad de Buenos Aires', 'Autódromo Oscar Alfredo Gálvez']",buenos-aires,-58.459347,Juan y Oscar Gálvez
Bugatti Circuit,france,47.937694,RACE,Le Mans,,bugatti,0.225611,Bugatti
Caesars Palace,united-states-of-america,36.116944,STREET,Las Vegas,,caesars-palace,-115.175,Caesars Palace
Circuit de Barcelona-Catalunya,spain,41.57,RACE,Montmeló,,catalunya,2.261111,Catalunya
Charade Circuit,france,45.747222,ROAD,Clermont-Ferrand,,clermont-ferrand,3.038889,Charade
Fair Park,united-states-of-america,32.781944,STREET,Dallas,,dallas,-96.765556,Fair Park
Detroit Street Circuit,united-states-of-america,42.32975,STREET,Detroit,,detroit,-83.040111,Detroit
Dijon-Prenois,france,47.3625,RACE,Dijon,,dijon,4.899167,Dijon-Prenois
Donington Park,united-kingdom,52.829806,RACE,Leicestershire,,donington,-1.379556,Donington Park
Prince George Circuit,south-africa,-33.048611,RACE,East London,,east-london,27.873611,Prince George
Autódromo do Estoril,portugal,38.750833,RACE,Estoril,,estoril,-9.394167,Estoril
Fuji Speedway,japan,35.371667,RACE,Oyama,,fuji,138.926667,Fuji
Hockenheimring,germany,49.327778,RACE,Hockenheim,,hockenheimring,8.565833,Hockenheimring
Hungaroring,hungary,47.582222,RACE,Budapest,,hungaroring,19.251111,Hungaroring
Autodromo Internazionale Enzo e Dino Ferrari,italy,44.341111,RACE,Imola,['Autodromo Dino Ferrari'],imola,11.713333,Enzo e Dino Ferrari
Indianapolis Motor Speedway,united-states-of-america,39.798333,RACE,Indianapolis,,indianapolis,-86.232778,Indianapolis
Autódromo José Carlos Pace,brazil,-23.701111,RACE,São Paulo,['Interlagos'],interlagos,-46.697222,José Carlos Pace
Istanbul Park,turkey,40.951667,RACE,Istanbul,['Istanbul Otodrom'],istanbul,29.405,Istanbul Park
Autódromo Internacional Nelson Piquet,brazil,-22.975556,RACE,Rio de Janeiro,['Jacarepaguá'],jacarepagua,-43.395,Nelson Piquet
Circuito del Jarama,spain,40.617111,RACE,Madrid,['Circuito Permanente del Jarama'],jarama,-3.585583,Jarama
Jeddah Corniche Circuit,saudi-arabia,21.543333,STREET,Jeddah,,jeddah,39.172778,Jeddah
Circuito de Jerez,spain,36.708333,RACE,Jerez de la Frontera,['Circuito Permanente de Jerez'],jerez,-6.034167,Jerez
Kyalami Racing Circuit,south-africa,-25.998611,RACE,Midrand,,kyalami,28.068889,Kyalami
Las Vegas Street Circuit,united-states-of-america,36.175,STREET,Las Vegas,,las-vegas,-115.136389,Las Vegas
Long Beach,united-states-of-america,33.766389,STREET,Long Beach,,long-beach,-118.192778,Long Beach
Losail International Circuit,qatar,25.49,RACE,Lusail,,losail,51.454167,Losail
Circuit de Nevers Magny-Cours,france,46.863242,RACE,Nevers,,magny-cours,3.164228,Magny-Cours
Marina Bay Street Circuit,singapore,1.291531,STREET,Singapore,,marina-bay,103.86385,Marina Bay
Melbourne Grand Prix Circuit,australia,-37.849722,STREET,Melbourne,['Albert Park Circuit'],melbourne,144.968333,Melbourne
Autódromo Hermanos Rodríguez,mexico,19.404197,RACE,Mexico City,['Autódromo Ricardo Rodríguez'],mexico-city,-99.088747,Hermanos Rodríguez
Miami International Autodrome,united-states-of-america,25.958056,STREET,Miami Gardens,,miami,-80.238889,Miami
Circuit de Monaco,monaco,43.734722,STREET,Monte Carlo,,monaco,7.420556,Monaco
Circuito de Monsanto,portugal,38.719722,STREET,Lisbon,,monsanto,-9.203056,Monsanto
Circuit Mont-Tremblant,canada,46.187707,RACE,Mont-Tremblant,,mont-tremblant,-74.609936,Mont-Tremblant
Circuito de Montjuïc,spain,41.366389,STREET,Barcelona,,montjuic,2.151667,Montjuïc
